Ticker,Type,GICS_Sector,GICS_SubIndustry
A,Equity,Health Care,Life Sciences Tools & Services
AAPL,Equity,Information Technology,"Technology Hardware, Storage & Peripherals"
ABBV,Equity,Health Care,Biotechnology
ABNB,Equity,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
ABT,Equity,Health Care,Health Care Equipment
ACGL,Equity,Financials,Property & Casualty Insurance
ACN,Equity,Information Technology,IT Consulting & Other Services
ADBE,Equity,Information Technology,Application Software
ADI,Equity,Information Technology,Semiconductors
ADM,Equity,Consumer Staples,Agricultural Products & Services
ADP,Equity,Industrials,Human Resource & Employment Services
ADSK,Equity,Information Technology,Application Software
AEE,Equity,Utilities,Multi-Utilities
AEP,Equity,Utilities,Electric Utilities
AES,Equity,Utilities,Independent Power Producers & Energy Traders
AFL,Equity,Financials,Life & Health Insurance
AIG,Equity,Financials,Multi-line Insurance
AIZ,Equity,Financials,Multi-line Insurance
AJG,Equity,Financials,Insurance Brokers
AKAM,Equity,Information Technology,Internet Services & Infrastructure
ALB,Equity,Materials,Specialty Chemicals
ALGN,Equity,Health Care,Health Care Supplies
ALL,Equity,Financials,Property & Casualty Insurance
ALLE,Equity,Industrials,Building Products
AMAT,Equity,Information Technology,Semiconductor Materials & Equipment
AMCR,Equity,Materials,Paper & Plastic Packaging Products & Materials
AMD,Equity,Information Technology,Semiconductors
AME,Equity,Industrials,Electrical Components & Equipment
AMGN,Equity,Health Care,Biotechnology
AMP,Equity,Financials,Asset Management & Custody Banks
AMT,Equity,Real Estate,Telecom Tower REITs
AMZN,Equity,Consumer Discretionary,Broadline Retail
ANET,Equity,Information Technology,Communications Equipment
AON,Equity,Financials,Insurance Brokers
AOS,Equity,Industrials,Building Products
APA,Equity,Energy,Oil & Gas Exploration & Production
APD,Equity,Materials,Industrial Gases
APH,Equity,Information Technology,Electronic Components
APO,Equity,Financials,Asset Management & Custody Banks
APP,Equity,Communication Services,Advertising
APTV,Equity,Consumer Discretionary,Automotive Parts & Equipment
ARE,Equity,Real Estate,Office REITs
ARES,Equity,Financials,Asset Management & Custody Banks
ATO,Equity,Utilities,Gas Utilities
AVGO,Equity,Information Technology,Semiconductors
AVY,Equity,Materials,Paper & Plastic Packaging Products & Materials
AWK,Equity,Utilities,Water Utilities
AXON,Equity,Industrials,Aerospace & Defense
AXP,Equity,Financials,Consumer Finance
AZO,Equity,Consumer Discretionary,Automotive Retail
BA,Equity,Industrials,Aerospace & Defense
BAC,Equity,Financials,Diversified Banks
BALL,Equity,Materials,"Metal, Glass & Plastic Containers"
BAX,Equity,Health Care,Health Care Equipment
BBY,Equity,Consumer Discretionary,Computer & Electronics Retail
BDX,Equity,Health Care,Health Care Equipment
BEN,Equity,Financials,Asset Management & Custody Banks
BF-B,Equity,Consumer Staples,Distillers & Vintners
BG,Equity,Consumer Staples,Agricultural Products & Services
BIIB,Equity,Health Care,Biotechnology
BKNG,Equity,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
BKR,Equity,Energy,Oil & Gas Equipment & Services
BLDR,Equity,Industrials,Building Products
BLK,Equity,Financials,Asset Management & Custody Banks
BMY,Equity,Health Care,Pharmaceuticals
BNY,Equity,Financials,Asset Management & Custody Banks
BR,Equity,Industrials,Data Processing & Outsourced Services
BRK-B,Equity,Financials,Multi-Sector Holdings
BRO,Equity,Financials,Insurance Brokers
BSX,Equity,Health Care,Health Care Equipment
BX,Equity,Financials,Asset Management & Custody Banks
BXP,Equity,Real Estate,Office REITs
C,Equity,Financials,Diversified Banks
CAH,Equity,Health Care,Health Care Distributors
CARR,Equity,Industrials,Building Products
CASY,Equity,Consumer Staples,Food Retail
CAT,Equity,Industrials,Construction Machinery & Heavy Transportation Equipment
CB,Equity,Financials,Property & Casualty Insurance
CBOE,Equity,Financials,Financial Exchanges & Data
CBRE,Equity,Real Estate,Real Estate Services
CCI,Equity,Real Estate,Telecom Tower REITs
CCL,Equity,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
CDNS,Equity,Information Technology,Application Software
CDW,Equity,Information Technology,Technology Distributors
CEG,Equity,Utilities,Electric Utilities
CF,Equity,Materials,Fertilizers & Agricultural Chemicals
CFG,Equity,Financials,Regional Banks
CHD,Equity,Consumer Staples,Household Products
CHRW,Equity,Industrials,Air Freight & Logistics
CHTR,Equity,Communication Services,Cable & Satellite
CI,Equity,Health Care,Health Care Services
CIEN,Equity,Information Technology,Communications Equipment
CINF,Equity,Financials,Property & Casualty Insurance
CL,Equity,Consumer Staples,Household Products
CLX,Equity,Consumer Staples,Household Products
CMCSA,Equity,Communication Services,Cable & Satellite
CME,Equity,Financials,Financial Exchanges & Data
CMG,Equity,Consumer Discretionary,Restaurants
CMI,Equity,Industrials,Construction Machinery & Heavy Transportation Equipment
CMS,Equity,Utilities,Multi-Utilities
CNC,Equity,Health Care,Managed Health Care
CNP,Equity,Utilities,Multi-Utilities
COF,Equity,Financials,Consumer Finance
COHR,Equity,Information Technology,Electronic Components
COIN,Equity,Financials,Financial Exchanges & Data
COO,Equity,Health Care,Health Care Supplies
COP,Equity,Energy,Oil & Gas Exploration & Production
COR,Equity,Health Care,Health Care Distributors
COST,Equity,Consumer Staples,Consumer Staples Merchandise Retail
CPAY,Equity,Financials,Transaction & Payment Processing Services
CPRT,Equity,Industrials,Diversified Support Services
CPT,Equity,Real Estate,Multi-Family Residential REITs
CRH,Equity,Materials,Construction Materials
CRL,Equity,Health Care,Life Sciences Tools & Services
CRM,Equity,Information Technology,Application Software
CRWD,Equity,Information Technology,Systems Software
CSCO,Equity,Information Technology,Communications Equipment
CSGP,Equity,Real Estate,Real Estate Services
CSX,Equity,Industrials,Rail Transportation
CTAS,Equity,Industrials,Diversified Support Services
CTSH,Equity,Information Technology,IT Consulting & Other Services
CTVA,Equity,Materials,Fertilizers & Agricultural Chemicals
CVNA,Equity,Consumer Discretionary,Automotive Retail
CVS,Equity,Health Care,Health Care Services
CVX,Equity,Energy,Integrated Oil & Gas
D,Equity,Utilities,Multi-Utilities
DAL,Equity,Industrials,Passenger Airlines
DASH,Equity,Consumer Discretionary,Specialized Consumer Services
DD,Equity,Industrials,Industrial Conglomerates
DDOG,Equity,Information Technology,Application Software
DE,Equity,Industrials,Agricultural & Farm Machinery
DECK,Equity,Consumer Discretionary,Footwear
DELL,Equity,Information Technology,"Technology Hardware, Storage & Peripherals"
DG,Equity,Consumer Staples,Consumer Staples Merchandise Retail
DGX,Equity,Health Care,Health Care Services
DHI,Equity,Consumer Discretionary,Homebuilding
DHR,Equity,Health Care,Life Sciences Tools & Services
DIS,Equity,Communication Services,Movies & Entertainment
DLR,Equity,Real Estate,Data Center REITs
DLTR,Equity,Consumer Staples,Consumer Staples Merchandise Retail
DOC,Equity,Real Estate,Health Care REITs
DOV,Equity,Industrials,Industrial Machinery & Supplies & Components
DOW,Equity,Materials,Commodity Chemicals
DPZ,Equity,Consumer Discretionary,Restaurants
DRI,Equity,Consumer Discretionary,Restaurants
DTE,Equity,Utilities,Multi-Utilities
DUK,Equity,Utilities,Electric Utilities
DVA,Equity,Health Care,Health Care Services
DVN,Equity,Energy,Oil & Gas Exploration & Production
DXCM,Equity,Health Care,Health Care Equipment
EBAY,Equity,Consumer Discretionary,Broadline Retail
ECHO,Equity,Communication Services,Wireless Telecommunication Services
ECL,Equity,Materials,Specialty Chemicals
ED,Equity,Utilities,Multi-Utilities
EFX,Equity,Industrials,Research & Consulting Services
EG,Equity,Financials,Reinsurance
EIX,Equity,Utilities,Electric Utilities
EL,Equity,Consumer Staples,Personal Care Products
ELV,Equity,Health Care,Managed Health Care
EME,Equity,Industrials,Construction & Engineering
EMR,Equity,Industrials,Electrical Components & Equipment
EOG,Equity,Energy,Oil & Gas Exploration & Production
EQIX,Equity,Real Estate,Data Center REITs
EQT,Equity,Energy,Oil & Gas Exploration & Production
ERIE,Equity,Financials,Insurance Brokers
ES,Equity,Utilities,Electric Utilities
ESS,Equity,Real Estate,Multi-Family Residential REITs
ETN,Equity,Industrials,Electrical Components & Equipment
ETR,Equity,Utilities,Electric Utilities
EVRG,Equity,Utilities,Electric Utilities
EW,Equity,Health Care,Health Care Equipment
EXC,Equity,Utilities,Electric Utilities
EXE,Equity,Energy,Oil & Gas Exploration & Production
EXPD,Equity,Industrials,Air Freight & Logistics
EXPE,Equity,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
EXR,Equity,Real Estate,Self-Storage REITs
F,Equity,Consumer Discretionary,Automobile Manufacturers
FANG,Equity,Energy,Oil & Gas Exploration & Production
FAST,Equity,Industrials,Trading Companies & Distributors
FCX,Equity,Materials,Copper
FDS,Equity,Financials,Financial Exchanges & Data
FDX,Equity,Industrials,Air Freight & Logistics
FDXF,Equity,Industrials,Cargo Ground Transportation
FE,Equity,Utilities,Electric Utilities
FERG,Equity,Industrials,Building Products
FFIV,Equity,Information Technology,Communications Equipment
FICO,Equity,Information Technology,Application Software
FIS,Equity,Financials,Transaction & Payment Processing Services
FISV,Equity,Financials,Transaction & Payment Processing Services
FITB,Equity,Financials,Regional Banks
FIX,Equity,Industrials,Construction & Engineering
FLEX,Equity,Information Technology,Electronic Manufacturing Services
FOX,Equity,Communication Services,Broadcasting
FOXA,Equity,Communication Services,Broadcasting
FRT,Equity,Real Estate,Retail REITs
FSLR,Equity,Information Technology,Semiconductors
FTNT,Equity,Information Technology,Systems Software
FTV,Equity,Industrials,Industrial Machinery & Supplies & Components
GD,Equity,Industrials,Aerospace & Defense
GDDY,Equity,Information Technology,Internet Services & Infrastructure
GE,Equity,Industrials,Aerospace & Defense
GEHC,Equity,Health Care,Health Care Equipment
GEN,Equity,Information Technology,Systems Software
GEV,Equity,Industrials,Heavy Electrical Equipment
GILD,Equity,Health Care,Biotechnology
GIS,Equity,Consumer Staples,Packaged Foods & Meats
GL,Equity,Financials,Life & Health Insurance
GLW,Equity,Information Technology,Electronic Components
GM,Equity,Consumer Discretionary,Automobile Manufacturers
GNRC,Equity,Industrials,Heavy Electrical Equipment
GOOG,Equity,Communication Services,Interactive Media & Services
GOOGL,Equity,Communication Services,Interactive Media & Services
GPC,Equity,Consumer Discretionary,Distributors
GPN,Equity,Financials,Transaction & Payment Processing Services
GRMN,Equity,Consumer Discretionary,Consumer Electronics
GS,Equity,Financials,Investment Banking & Brokerage
GWW,Equity,Industrials,Industrial Machinery & Supplies & Components
HAL,Equity,Energy,Oil & Gas Equipment & Services
HAS,Equity,Consumer Discretionary,Leisure Products
HBAN,Equity,Financials,Regional Banks
HCA,Equity,Health Care,Health Care Facilities
HD,Equity,Consumer Discretionary,Home Improvement Retail
HIG,Equity,Financials,Property & Casualty Insurance
HII,Equity,Industrials,Aerospace & Defense
HLT,Equity,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
HON,Equity,Industrials,Industrial Conglomerates
HONA,Equity,Industrials,Aerospace & Defense
HOOD,Equity,Financials,Investment Banking & Brokerage
HPE,Equity,Information Technology,"Technology Hardware, Storage & Peripherals"
HPQ,Equity,Information Technology,"Technology Hardware, Storage & Peripherals"
HRL,Equity,Consumer Staples,Packaged Foods & Meats
HSIC,Equity,Health Care,Health Care Distributors
HST,Equity,Real Estate,Hotel & Resort REITs
HSY,Equity,Consumer Staples,Packaged Foods & Meats
HUBB,Equity,Industrials,Industrial Machinery & Supplies & Components
HUM,Equity,Health Care,Managed Health Care
HWM,Equity,Industrials,Aerospace & Defense
IBKR,Equity,Financials,Investment Banking & Brokerage
IBM,Equity,Information Technology,IT Consulting & Other Services
ICE,Equity,Financials,Financial Exchanges & Data
IDXX,Equity,Health Care,Health Care Equipment
IEX,Equity,Industrials,Industrial Machinery & Supplies & Components
IFF,Equity,Materials,Specialty Chemicals
INCY,Equity,Health Care,Biotechnology
INTC,Equity,Information Technology,Semiconductors
INTU,Equity,Information Technology,Application Software
INVH,Equity,Real Estate,Single-Family Residential REITs
IP,Equity,Materials,Paper & Plastic Packaging Products & Materials
IQV,Equity,Health Care,Life Sciences Tools & Services
IR,Equity,Industrials,Industrial Machinery & Supplies & Components
IRM,Equity,Real Estate,Other Specialized REITs
ISRG,Equity,Health Care,Health Care Equipment
IT,Equity,Information Technology,IT Consulting & Other Services
ITW,Equity,Industrials,Industrial Machinery & Supplies & Components
IVZ,Equity,Financials,Asset Management & Custody Banks
J,Equity,Industrials,Construction & Engineering
JBHT,Equity,Industrials,Cargo Ground Transportation
JBL,Equity,Information Technology,Electronic Manufacturing Services
JCI,Equity,Industrials,Building Products
JKHY,Equity,Financials,Transaction & Payment Processing Services
JNJ,Equity,Health Care,Pharmaceuticals
JPM,Equity,Financials,Diversified Banks
KDP,Equity,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
KEY,Equity,Financials,Regional Banks
KEYS,Equity,Information Technology,Electronic Equipment & Instruments
KHC,Equity,Consumer Staples,Packaged Foods & Meats
KIM,Equity,Real Estate,Retail REITs
KKR,Equity,Financials,Asset Management & Custody Banks
KLAC,Equity,Information Technology,Semiconductor Materials & Equipment
KMB,Equity,Consumer Staples,Household Products
KMI,Equity,Energy,Oil & Gas Storage & Transportation
KO,Equity,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
KR,Equity,Consumer Staples,Food Retail
KVUE,Equity,Consumer Staples,Personal Care Products
L,Equity,Financials,Multi-line Insurance
LDOS,Equity,Industrials,Diversified Support Services
LEN,Equity,Consumer Discretionary,Homebuilding
LH,Equity,Health Care,Health Care Services
LHX,Equity,Industrials,Aerospace & Defense
LII,Equity,Industrials,Building Products
LIN,Equity,Materials,Industrial Gases
