Horizon,Subset,OOF_AUC,CI_Lower,CI_Upper,OOF_Rank_IC,OOF_HAC_p,HAC_SigCount,Max_Abs_ICIR,Decision
1,28D (Full),0.503221392631531,0.441854298114777,0.552715063095093,-0.00469641618026561,0.346472918395684,16,0.210100650787354,NO-GO (Noise/Overlap)
1,18D (Rel+Micro),0.507263481616974,0.450694918632507,0.564408451318741,0.0145927757995415,0.00389822777415016,16,0.210100650787354,NO-GO (Noise/Overlap)
1,10D (Macro),0.497167348861694,0.446748957037926,0.559341222047806,NaN,NaN,0,NaN,NO-GO (Noise/Overlap)
3,28D (Full),0.509578585624695,0.458277627825737,0.57064625620842,0.00812572057063846,0.113235919408996,13,0.242750182747841,NO-GO (Noise/Overlap)
3,18D (Rel+Micro),0.508776009082794,0.458491653203964,0.559785157442093,0.00740974221233636,0.162616224310834,13,0.242750182747841,NO-GO (Noise/Overlap)
3,10D (Macro),0.501642882823944,0.455352768301964,0.547200858592987,NaN,NaN,0,NaN,NO-GO (Noise/Overlap)
5,28D (Full),0.509363114833832,0.451570823788643,0.567805886268616,0.0118791101714086,0.0251266227193496,13,0.260685443878174,NO-GO (Noise/Overlap)
5,18D (Rel+Micro),0.507230579853058,0.459028095006943,0.553669005632401,0.014528902823162,0.00696323124397158,13,0.260685443878174,NO-GO (Noise/Overlap)
5,10D (Macro),0.493814736604691,0.439048066735268,0.545946180820465,NaN,NaN,0,NaN,NO-GO (Noise/Overlap)
10,28D (Full),0.50889390707016,0.460323452949524,0.561246812343597,0.0241996733459057,8.55188510529015e-05,13,0.257090866565704,MARGINAL (Weak)
10,18D (Rel+Micro),0.507239818572998,0.459253415465355,0.566361486911774,0.0250619504857786,6.86113931993582e-05,13,0.257090866565704,GO (Strong Signal)
10,10D (Macro),0.497171640396118,0.4416593760252,0.54344567656517,NaN,NaN,0,NaN,NO-GO (Noise/Overlap)
20,28D (Full),0.506978392601013,0.453430458903313,0.566901952028275,0.0157718335218092,0.0219162608278638,15,0.252220541238785,MARGINAL (Weak)
20,18D (Rel+Micro),0.508230865001678,0.448003247380257,0.572150349617004,0.034075243456973,4.39772690974394e-06,15,0.252220541238785,GO (Strong Signal)
20,10D (Macro),0.496147811412811,0.44935254752636,0.551406770944595,NaN,NaN,0,NaN,NO-GO (Noise/Overlap)
40,28D (Full),0.511973917484283,0.461007997393608,0.567109823226929,0.0280678469092663,0.00166158618245582,15,0.403311550617218,GO (Strong Signal)
40,18D (Rel+Micro),0.508004128932953,0.454947590827942,0.55956706404686,0.0234774410830645,0.00437897822372801,15,0.403311550617218,MARGINAL (Weak)
40,10D (Macro),0.496706992387772,0.443669691681862,0.542167961597443,NaN,NaN,0,NaN,NO-GO (Noise/Overlap)
60,28D (Full),0.510229051113129,0.452513873577118,0.56093817949295,0.0346292306737431,0.000158432678637244,15,0.51430732011795,GO (Strong Signal)
60,18D (Rel+Micro),0.518541812896729,0.47254291176796,0.571609884500504,0.0346022893028561,0.000399478178296997,15,0.51430732011795,GO (Strong Signal)
60,10D (Macro),0.500611305236816,0.451768413186073,0.547276556491852,NaN,NaN,0,NaN,NO-GO (Noise/Overlap)
90,28D (Full),0.517504394054413,0.461635559797287,0.563392102718353,0.0405358144613164,0.00033637974639511,15,0.638447761535645,GO (Strong Signal)
90,18D (Rel+Micro),0.518503606319427,0.471576720476151,0.56631875038147,0.0451497344742259,6.37673598440358e-05,15,0.638447761535645,GO (Strong Signal)
90,10D (Macro),0.49891209602356,0.449821576476097,0.543144941329956,NaN,NaN,0,NaN,NO-GO (Noise/Overlap)
