Horizon,Subset,OOF_AUC,CI_Lower,CI_Upper,OOF_Rank_IC,OOF_HAC_p,HAC_SigCount,Max_Abs_ICIR,Decision
1,28D (Full),0.507001936435699,0.449203133583069,0.556515723466873,0.00867967524778466,0.0770286257264596,16,0.209996342658997,NO-GO (Noise/Overlap)
1,18D (Rel+Micro),0.50580632686615,0.448559403419495,0.561210751533508,0.00745063373757788,0.145353449939141,16,0.209996342658997,NO-GO (Noise/Overlap)
1,10D (Macro),0.49844029545784,0.441368192434311,0.546844720840454,NaN,NaN,0,NaN,NO-GO (Noise/Overlap)
3,28D (Full),0.509013295173645,0.453053310513496,0.556045293807983,0.016346793336535,0.00111876502634445,13,0.242603868246078,MARGINAL (Weak)
3,18D (Rel+Micro),0.510396838188171,0.455609858036041,0.562817394733429,0.0147734069044988,0.00424766578886926,13,0.242603868246078,NO-GO (Noise/Overlap)
3,10D (Macro),0.496926307678223,0.450788944959641,0.548164337873459,NaN,NaN,0,NaN,NO-GO (Noise/Overlap)
5,28D (Full),0.501522302627563,0.454528734087944,0.551722198724747,0.0147603177847749,0.00643361581440249,13,0.260383367538452,NO-GO (Noise/Overlap)
5,18D (Rel+Micro),0.508172631263733,0.458644777536392,0.558891445398331,0.0274266580336245,6.60962586662706e-07,13,0.260383367538452,GO (Strong Signal)
5,10D (Macro),0.503673076629639,0.448116108775139,0.556303560733795,NaN,NaN,0,NaN,NO-GO (Noise/Overlap)
10,28D (Full),0.512234330177307,0.464542120695114,0.573609530925751,0.0206988224648556,0.000303214886953507,13,0.256870865821838,MARGINAL (Weak)
10,18D (Rel+Micro),0.512158095836639,0.462526261806488,0.568405836820602,0.0254063768604768,3.69070879302491e-05,13,0.256870865821838,GO (Strong Signal)
10,10D (Macro),0.504041194915771,0.450487866997719,0.553781569004059,NaN,NaN,0,NaN,NO-GO (Noise/Overlap)
20,28D (Full),0.504322171211243,0.451448544859886,0.556452989578247,0.0177224100548376,0.0120588849239396,15,0.252336621284485,MARGINAL (Weak)
20,18D (Rel+Micro),0.504031479358673,0.451258331537247,0.559582710266113,0.0157276821034879,0.0371641435933716,15,0.252336621284485,MARGINAL (Weak)
20,10D (Macro),0.502120137214661,0.445350110530853,0.549408137798309,NaN,NaN,0,NaN,NO-GO (Noise/Overlap)
40,28D (Full),0.513331711292267,0.462107196450233,0.569507718086243,0.0333984145045187,0.00026583756076759,15,0.403640866279602,GO (Strong Signal)
40,18D (Rel+Micro),0.513758957386017,0.443547919392586,0.567111104726791,0.0269039595890171,0.00344820428243775,15,0.403640866279602,GO (Strong Signal)
40,10D (Macro),0.496473610401154,0.450038999319077,0.543082028627396,NaN,NaN,0,NaN,NO-GO (Noise/Overlap)
60,28D (Full),0.515821814537048,0.463405519723892,0.568004935979843,0.0402420669590681,0.000132621076558426,15,0.514631271362305,GO (Strong Signal)
60,18D (Rel+Micro),0.51790326833725,0.474140167236328,0.576865196228027,0.0342424936170449,0.000488595406181069,15,0.514631271362305,GO (Strong Signal)
60,10D (Macro),0.494473099708557,0.443056777119637,0.548073470592499,NaN,NaN,0,NaN,NO-GO (Noise/Overlap)
90,28D (Full),0.514606058597565,0.457500457763672,0.562028765678406,0.0368380923763113,0.00119617136758299,15,0.63900500535965,GO (Strong Signal)
90,18D (Rel+Micro),0.521041989326477,0.479005426168442,0.564166843891144,0.0509004457246375,9.06016505530793e-06,15,0.63900500535965,GO (Strong Signal)
90,10D (Macro),0.49940699338913,0.450043842196465,0.554354131221771,NaN,NaN,0,NaN,NO-GO (Noise/Overlap)
